nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp
52,7,1,2,3,"[18,21)",2,nada,NA,NA,NA,NA,NA,NA,NA
52,9,1,4,3,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
52,10,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
52,13,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
52,14,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
52,15,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
52,16,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
52,17,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
52,18,1,1,7,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,4,3,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
53,19,3,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,3700,NA
53,5,1,4,3,"[21,30)",1,trabaja,2,9,NA,NA,NA,NA,NA
53,6,1,2,3,"[18,21)",1,desocupado,NA,NA,NA,NA,NA,NA,NA
53,7,1,2,3,"[18,21)",2,nada,NA,NA,NA,NA,NA,NA,NA
53,9,1,4,3,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
53,2,3,5,1,"[30, +)",1,trabaja,2,9,4000,NA,3,NA,NA
53,10,1,2,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
53,13,1,1,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
53,14,1,1,3,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
53,15,1,1,3,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
53,16,1,1,3,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
53,17,1,1,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
53,18,1,NA,3,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,3,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
54,2,3,3,1,"[30, +)",2,trabaja,2,9,NA,NA,3,2300,NA
54,6,1,4,4,"[18,21)",1,nada,NA,NA,NA,NA,NA,NA,NA
54,7,1,3,4,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
54,8,1,2,4,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
54,9,1,3,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
54,10,1,2,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
54,11,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
54,13,1,1,7,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1,2,4,"[15, 18)",1,nada,NA,NA,NA,NA,NA,NA,NA
55,2,1,3,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
55,3,3,3,1,"[30, +)",2,trabaja,2,9,NA,NA,3,2300,NA
55,7,1,4,4,"[18,21)",1,nada,NA,NA,NA,NA,NA,NA,NA
55,8,1,3,4,"[15, 18)",2,nada,NA,NA,NA,NA,NA,NA,NA
55,9,1,3,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
55,10,1,2,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
55,11,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
55,13,1,1,7,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
59,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
59,2,2,4,1,"[30, +)",1,desocupado,NA,NA,NA,NA,NA,NA,NA
59,3,2,4,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,2500,NA
59,4,1,4,3,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
59,5,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
59,13,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
60,4,4,4,1,"[30, +)",2,desocupado,NA,NA,NA,NA,3,2359,NA
60,13,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
60,14,1,1,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
60,15,1,NA,4,[0-3),1,NA,NA,NA,NA,NA,NA,NA,NA
62,1,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
62,3,3,5,1,"[30, +)",2,trabaja,1,5,NA,NA,3,2200,NA
62,4,1,4,4,"[18,21)",1,trabaja,2,5,NA,NA,NA,NA,NA
62,5,1,4,4,"[15, 18)",2,trabaja,2,9,NA,NA,NA,NA,NA
62,7,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
62,8,1,2,4,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
62,13,1,2,4,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
63,2,4,2,1,"[30, +)",1,trabaja,4,7,NA,NA,1,NA,NA
63,3,2,2,2,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,NA,NA
63,13,1,2,3,"[6,12)",2,NA,NA,NA,NA,NA,NA,NA,NA
63,14,1,NA,3,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
67,1,1,5,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
67,3,4,2,1,"[30, +)",2,t.hogar,NA,NA,NA,NA,NA,2800,NA
67,4,1,5,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
67,5,1,2,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
67,13,1,NA,4,[0-3),2,NA,NA,NA,NA,NA,NA,NA,NA
67,14,1,1,4,"[3, 6)",2,NA,NA,NA,NA,NA,NA,NA,NA
68,1,1,4,4,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
68,2,4,2,1,"[30, +)",1,trabaja,6,9,NA,NA,1,1500,NA
68,3,2,4,4,"[21,30)",2,desocupado,NA,NA,NA,NA,2,NA,NA
68,4,1,4,4,"[21,30)",2,trabaja,1,9,NA,NA,1,NA,NA
68,5,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
70,1,1,4,4,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
70,3,4,4,1,"[30, +)",2,trabaja,5,5,2600,NA,3,3780,NA
70,4,1,4,4,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
70,5,1,4,4,"[15, 18)",2,estudia,NA,NA,NA,NA,NA,NA,NA
70,6,1,2,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
70,7,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
70,13,1,2,4,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
70,14,1,2,8,NA,2,nada,NA,NA,NA,NA,NA,NA,NA
73,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
73,2,3,10,1,"[30, +)",1,trabaja,2,7,NA,NA,NA,NA,NA
73,3,3,10,2,"[30, +)",2,trabaja,5,2,NA,NA,NA,NA,NA
73,4,1,1,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
75,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
75,2,4,10,1,"[30, +)",2,trabaja,2,4,NA,NA,NA,1600,NA
75,3,1,2,4,"[12,15)",2,NA,NA,NA,NA,NA,NA,NA,NA
76,1,1,4,3,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
76,2,2,4,1,"[30, +)",1,trabaja,2,5,NA,NA,NA,500,1200
76,3,2,4,2,"[30, +)",2,desocupado,NA,NA,NA,NA,NA,NA,NA
76,4,5,2,9,NA,2,jubilado,NA,NA,999999,NA,NA,NA,NA
76,13,1,1,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
76,14,1,1,3,"[3, 6)",1,NA,NA,NA,NA,NA,NA,NA,NA
77,1,1,4,3,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
77,2,2,9,1,"[30, +)",1,trabaja,2,3,NA,NA,NA,NA,NA
77,3,2,1,2,"[30, +)",2,trabaja,2,9,NA,NA,NA,NA,NA
77,4,1,10,5,"[18,21)",1,trabaja,5,9,NA,NA,NA,NA,NA
78,1,1,2,4,"[15, 18)",1,NA,NA,NA,NA,NA,NA,NA,NA
78,2,4,9,1,"[30, +)",2,trabaja,2,3,NA,NA,1,NA,NA
78,5,5,9,8,NA,2,jubilado,NA,NA,13000,NA,1,NA,NA
79,1,1,4,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
79,2,1,4,1,"[30, +)",2,trabaja,6,NA,NA,NA,1,NA,NA
79,3,5,2,8,NA,2,jubilado,NA,NA,999999,NA,NA,NA,NA
79,4,1,5,10,"[30, +)",1,t.hogar,NA,NA,NA,NA,NA,NA,NA
81,1,1,4,3,"[12,15)",1,estudia,NA,NA,NA,NA,NA,NA,NA
81,2,2,4,2,"[30, +)",1,trabaja,2,3,NA,NA,1,NA,NA
81,3,2,9,1,"[30, +)",2,trabaja,1,2,NA,NA,1,NA,NA
83,1,1,4,5,"[12,15)",2,estudia,NA,NA,NA,NA,NA,NA,NA
83,2,2,2,2,"[30, +)",2,trabaja,2,5,NA,NA,3,300,NA
83,3,1,4,5,"[18,21)",1,estudia,NA,NA,NA,NA,NA,NA,NA
83,4,1,4,5,"[15, 18)",1,estudia,NA,NA,NA,NA,NA,NA,NA
83,5,1,2,3,"[6,12)",1,NA,NA,NA,NA,NA,NA,NA,NA
83,6,2,2,1,"[30, +)",1,trabaja,1,5,NA,NA,NA,NA,NA
84,1,1,2,4,"[12,15)",1,NA,NA,NA,NA,NA,NA,NA,NA
